longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.668-73.951,40.668,Brooklyn,Crown Heights,Private room,75,1,55,2019,2.7,1,35,73,11234,3,0,0,0,0,1,1,0,0,2,0,3,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
40.67-73.979,40.67,Brooklyn,Park Slope,Private room,135,2,88,2018,1.6,4,0,7,11234,4,0,0,0,1,0,0,0,0,1,0,7,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
40.67-73.979,40.67,Brooklyn,Park Slope,Entire home/apt,226,2,57,2019,2.32,1,127,8,11234,3,1,0,0,0,0,0,1,0,0,0,6,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.672-73.951,40.672,Brooklyn,Crown Heights,Entire home/apt,130,2,29,2019,0.35,1,119,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.672-73.951,40.672,Brooklyn,Crown Heights,Entire home/apt,107,3,143,2019,2.07,1,23,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.672-73.951,40.672,Brooklyn,Crown Heights,Private room,90,12,24,2017,0.41,1,64,9,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.672-73.951,40.672,Brooklyn,Crown Heights,Entire home/apt,85,2,14,2019,0.28,2,0,9,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.672-73.951,40.672,Brooklyn,Crown Heights,Private room,50,3,1,2016,0.03,1,0,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.674-73.957,40.674,Brooklyn,Crown Heights,Entire home/apt,150,2,37,2019,0.58,2,230,5,11234,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.674-73.957,40.674,Brooklyn,Crown Heights,Private room,60,2,51,2019,0.68,2,57,5,11234,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
